epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1324.12,1.6534,1.21313,1.40853,0.77351,0.53898,0.63075,0.34926,1.52095,0.98755,1.32539,0.0670091,0.000333241,0.000333241
2,2505.15,1.58344,1.08217,1.36709,0.7779,0.56544,0.64893,0.36561,1.47045,0.90503,1.2945,0.0340085,0.000665923,0.000665923
3,3662.29,1.55294,1.04077,1.34388,0.7814,0.57156,0.65906,0.37122,1.4546,0.88502,1.28268,0.00100524,0.000996005,0.000996005
4,10195,1.52958,1.00659,1.32714,0.79679,0.58277,0.67147,0.3834,1.42684,0.85473,1.26186,0.000991232,0.000991232,0.000991232
5,11361.4,1.51052,0.9834,1.31406,0.79422,0.59003,0.6793,0.39012,1.41633,0.83702,1.2463,0.000984449,0.000984449,0.000984449
6,18359.2,1.49266,0.96444,1.30278,0.80637,0.59727,0.68627,0.39788,1.39064,0.81705,1.23105,0.000975773,0.000975773,0.000975773
7,19533.5,1.47904,0.95007,1.293,0.80333,0.59815,0.6872,0.40008,1.38019,0.80223,1.22443,0.000965239,0.000965239,0.000965239
8,21469.9,1.47014,0.93722,1.28637,0.80921,0.60007,0.69152,0.40424,1.37726,0.7936,1.2202,0.000952889,0.000952889,0.000952889
9,22657.1,1.45891,0.92658,1.27895,0.81116,0.60447,0.69759,0.41011,1.36475,0.78268,1.21317,0.000938772,0.000938772,0.000938772
10,24355.1,1.44756,0.91228,1.27096,0.81501,0.60888,0.70117,0.41344,1.35199,0.77274,1.20466,0.000922942,0.000922942,0.000922942
11,25524.3,1.4409,0.9047,1.26784,0.81667,0.60892,0.70174,0.4149,1.3463,0.76917,1.20292,0.000905463,0.000905463,0.000905463
12,26697.2,1.43342,0.90021,1.26353,0.81602,0.61686,0.70617,0.41807,1.34559,0.76804,1.19824,0.000886404,0.000886404,0.000886404
13,28581.2,1.42593,0.88855,1.25538,0.82073,0.61697,0.70889,0.42162,1.33472,0.76097,1.19153,0.000865839,0.000865839,0.000865839
14,29739.1,1.42416,0.88485,1.25484,0.82428,0.61808,0.71049,0.42332,1.33257,0.74795,1.18586,0.000843851,0.000843851,0.000843851
15,31538.1,1.42155,0.87924,1.24738,0.82305,0.62047,0.71234,0.42457,1.32525,0.7477,1.18692,0.000820525,0.000820525,0.000820525
16,32706.2,1.41613,0.87622,1.24745,0.82671,0.6245,0.71628,0.42824,1.31905,0.73996,1.17927,0.000795954,0.000795954,0.000795954
17,33859.1,1.40809,0.86839,1.24355,0.82511,0.62644,0.71661,0.42894,1.31408,0.7358,1.17572,0.000770234,0.000770234,0.000770234
18,35051,1.40234,0.86335,1.23897,0.82758,0.62924,0.71998,0.43168,1.3108,0.7344,1.17525,0.000743468,0.000743468,0.000743468
19,36217.3,1.3957,0.85644,1.2366,0.82926,0.6279,0.72045,0.4334,1.30541,0.72545,1.17061,0.000715761,0.000715761,0.000715761
20,37368.6,1.3918,0.85092,1.23107,0.82827,0.63144,0.72311,0.43493,1.30501,0.71932,1.16806,0.000687222,0.000687222,0.000687222
21,38528.4,1.38402,0.84658,1.22649,0.82855,0.63288,0.72268,0.43645,1.2975,0.71812,1.16609,0.000657963,0.000657963,0.000657963
22,39660.8,1.38605,0.84453,1.22819,0.83266,0.63275,0.7246,0.43744,1.29569,0.71551,1.16319,0.000628101,0.000628101,0.000628101
23,40794.8,1.37628,0.83794,1.22244,0.83256,0.63351,0.72628,0.43883,1.29267,0.71304,1.16304,0.000597754,0.000597754,0.000597754
24,41967.6,1.37626,0.8364,1.22232,0.83243,0.63454,0.72606,0.43958,1.29016,0.70824,1.15972,0.00056704,0.00056704,0.00056704
25,44084.1,1.37045,0.82899,1.2154,0.83618,0.63621,0.72821,0.44135,1.28772,0.70527,1.15764,0.000536081,0.000536081,0.000536081
26,45226.2,1.36556,0.8243,1.21422,0.83582,0.63713,0.73005,0.44335,1.28393,0.69989,1.15521,0.000505,0.000505,0.000505
27,46349.5,1.35916,0.81966,1.21096,0.83528,0.6382,0.73059,0.44341,1.28223,0.6993,1.15316,0.000473919,0.000473919,0.000473919
28,47460.6,1.35322,0.81231,1.20699,0.83832,0.63901,0.73207,0.44501,1.27907,0.69533,1.1519,0.00044296,0.00044296,0.00044296
29,48615.7,1.3521,0.81226,1.20659,0.83707,0.64076,0.73263,0.44578,1.27744,0.69439,1.15162,0.000412246,0.000412246,0.000412246
30,49771.4,1.35076,0.8095,1.20425,0.83874,0.64069,0.73284,0.44595,1.27624,0.69173,1.14878,0.000381899,0.000381899,0.000381899
31,51592,1.34879,0.80554,1.20221,0.83921,0.64081,0.73388,0.44703,1.27371,0.69202,1.14878,0.000352037,0.000352037,0.000352037
32,52734.7,1.34337,0.80178,1.19796,0.8394,0.6423,0.73519,0.44844,1.27201,0.68774,1.14584,0.000322778,0.000322778,0.000322778
33,53913.8,1.34112,0.80043,1.19785,0.84134,0.64157,0.73547,0.44898,1.2703,0.68571,1.14497,0.000294239,0.000294239,0.000294239
34,1179.02,1.33272,0.78952,1.19051,0.84248,0.64377,0.73699,0.45021,1.26914,0.68225,1.14339,0.000266532,0.000266532,0.000266532
35,2328.62,1.33429,0.79194,1.19351,0.84336,0.64353,0.73748,0.45098,1.26745,0.68179,1.1423,0.000239766,0.000239766,0.000239766
36,3476.77,1.32951,0.78712,1.18957,0.84351,0.64358,0.73769,0.45089,1.26691,0.68094,1.14138,0.000214046,0.000214046,0.000214046
37,4658.83,1.32751,0.78429,1.18835,0.8426,0.64502,0.73789,0.45138,1.26547,0.67912,1.14128,0.000189475,0.000189475,0.000189475
38,5798.64,1.32352,0.78132,1.18704,0.8418,0.64566,0.7379,0.45153,1.26521,0.67884,1.14029,0.000166149,0.000166149,0.000166149
39,1171.45,1.29958,0.76435,1.17265,0.84284,0.64619,0.73842,0.45179,1.26675,0.6762,1.14109,0.000144161,0.000144161,0.000144161
40,2322.31,1.30277,0.76661,1.17648,0.8428,0.6466,0.73886,0.45209,1.26681,0.67514,1.14122,0.000123596,0.000123596,0.000123596
41,3542.56,1.26936,0.69913,1.15149,0.84412,0.64493,0.73834,0.452,1.26513,0.67506,1.14048,0.000104537,0.000104537,0.000104537
42,4707.2,1.26355,0.69257,1.14768,0.84516,0.64465,0.73852,0.4526,1.26329,0.67318,1.13963,8.70577e-05,8.70577e-05,8.70577e-05
43,5839.61,1.25987,0.6905,1.145,0.84511,0.64524,0.73915,0.45299,1.26277,0.67284,1.13916,7.12282e-05,7.12282e-05,7.12282e-05
44,6979.29,1.25716,0.68732,1.144,0.84506,0.64567,0.73928,0.45332,1.2619,0.67193,1.13863,5.71106e-05,5.71106e-05,5.71106e-05
45,8922.27,1.2556,0.68662,1.14351,0.84518,0.64515,0.73947,0.45361,1.26144,0.67131,1.13827,4.47606e-05,4.47606e-05,4.47606e-05
46,10054.5,1.25303,0.68451,1.14177,0.84576,0.64486,0.73968,0.45371,1.26114,0.67062,1.13787,3.4227e-05,3.4227e-05,3.4227e-05
47,11191.3,1.25151,0.68293,1.14059,0.84604,0.64509,0.73992,0.4539,1.2609,0.6705,1.13756,2.55513e-05,2.55513e-05,2.55513e-05
48,12348.6,1.25048,0.68227,1.14003,0.84612,0.64533,0.73993,0.45404,1.26049,0.67017,1.13755,1.87678e-05,1.87678e-05,1.87678e-05
49,13471.7,1.24873,0.68033,1.14003,0.84595,0.64561,0.74007,0.45406,1.2603,0.66999,1.13731,1.39032e-05,1.39032e-05,1.39032e-05
50,14580.8,1.24961,0.68186,1.13845,0.84633,0.64586,0.74021,0.45422,1.26019,0.6697,1.13714,1.09768e-05,1.09768e-05,1.09768e-05
